Date,Open,High,Low,Close,Adj Close,Volume
2011-05-10,1.684522,1.766917,1.565507,1.638747,1.189888,2238473661
2011-05-11,1.629592,1.657057,1.574662,1.583817,1.150003,652369405
2011-05-12,1.574662,1.629592,1.574662,1.602127,1.163298,401586322
2011-05-13,1.611282,1.638747,1.592972,1.592972,1.156651,260448931
2011-05-18,1.592972,1.602127,1.547197,1.547197,1.123414,142363822
2011-05-19,1.565507,1.565507,1.510577,1.510577,1.096824,126412675
2011-05-20,1.510577,1.528887,1.473957,1.483112,1.076882,85293465
2011-05-23,1.464802,1.464802,1.400717,1.400717,1.017055,115542895
2011-05-24,1.419027,1.473957,1.419027,1.455647,1.056940,140307572
2011-05-25,1.437337,1.464802,1.428182,1.428182,1.036997,72356513
2011-05-26,1.446492,1.483112,1.437337,1.455647,1.056940,127491865
2011-05-27,1.455647,1.473957,1.455647,1.455647,1.056940,52607666
2011-05-30,1.473957,1.492267,1.464802,1.483112,1.076882,80017341
2011-05-31,1.483112,1.492267,1.455647,1.455647,1.056940,42554051
2011-06-01,1.464802,1.473957,1.446492,1.446492,1.050292,34061766
2011-06-02,1.446492,1.455647,1.437337,1.446492,1.050292,18134322
2011-06-03,1.446492,1.492267,1.446492,1.455647,1.056940,74323194
2011-06-06,1.455647,1.464802,1.446492,1.446492,1.050292,23410992
2011-06-07,1.446492,1.455647,1.409872,1.409872,1.023702,47995986
2011-06-08,1.419027,1.419027,1.354942,1.373252,0.997113,51297018
2011-06-09,1.373252,1.391562,1.354942,1.373252,0.997113,45896154
2011-06-10,1.382407,1.400717,1.373252,1.373252,0.997113,22360857
2011-06-13,1.364097,1.373252,1.354942,1.354942,0.983818,12337390
2011-06-14,1.373252,1.382407,1.364097,1.382407,1.003760,15127227
2011-06-15,1.382407,1.409872,1.373252,1.373252,0.997113,37913316
2011-06-16,1.373252,1.391562,1.364097,1.373252,0.997113,17487682
2011-06-17,1.382407,1.464802,1.382407,1.464802,1.063587,152858944
2011-06-20,1.464802,1.473957,1.409872,1.409872,1.023702,67505183
2011-06-21,1.428182,1.428182,1.409872,1.419027,1.030350,48754587
2011-06-22,1.428182,1.446492,1.419027,1.419027,1.030350,50470477
2011-06-23,1.409872,1.419027,1.391562,1.391562,1.010408,17219741
2011-06-24,1.400717,1.437337,1.391562,1.419027,1.030350,30028785
2011-06-27,1.409872,1.409872,1.391562,1.391562,1.010408,23458726
2011-06-28,1.400717,1.400717,1.382407,1.382407,1.003760,25572103
2011-06-29,1.400717,1.428182,1.391562,1.409872,1.023702,48593036
2011-06-30,1.409872,1.419027,1.391562,1.400717,1.017055,23896409
2011-07-04,1.446492,1.574662,1.428182,1.538042,1.116766,483421684
2011-07-05,1.556352,1.602127,1.492267,1.565507,1.136708,420079355
2011-07-06,1.565507,1.611282,1.538042,1.547197,1.123414,416041568
2011-07-07,1.565507,1.592972,1.547197,1.592972,1.156651,190402518
2011-07-08,1.592972,1.611282,1.574662,1.592972,1.156651,176384409
2011-07-11,1.583817,1.611282,1.565507,1.565507,1.136708,111647217
2011-07-12,1.547197,1.565507,1.538042,1.538042,1.116766,63556528
2011-07-13,1.556352,1.565507,1.556352,1.556352,1.130061,37480111
2011-07-14,1.556352,1.556352,1.519732,1.538042,1.116766,42207465
2011-07-18,1.547197,1.565507,1.538042,1.547197,1.123414,28666909
