Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,29.777069,30.013393,28.831764,28.831764,11.369719,2378494
2000-01-05,26.232180,26.941156,25.286877,25.523203,10.064998,2489675
2000-01-06,25.523203,26.232180,24.341572,24.814224,9.785415,1263932
2000-01-07,25.523203,26.704830,24.814224,26.704830,10.530971,814658
2000-01-10,27.413809,27.413809,25.995853,25.995853,10.251386,1466724
2000-01-11,26.232180,26.232180,24.814224,24.814224,9.785415,286574
2000-01-12,24.577898,25.050550,24.341572,24.577898,9.692219,544375
2000-01-13,24.577898,25.050550,24.105246,24.105246,9.505831,340948
2000-01-14,24.577898,25.050550,24.341572,24.577898,9.692219,808523
2000-01-17,25.523203,25.759527,24.814224,25.050550,9.878609,2066848
2000-01-18,25.286877,25.759527,25.050550,25.523203,10.064998,1305294
2000-01-19,25.759527,26.232180,25.523203,25.759527,10.158193,1569336
2000-01-20,26.232180,26.941156,26.232180,26.468506,10.437775,2181626
2000-01-21,26.468506,27.177483,25.995853,26.232180,10.344579,1742085
2000-01-24,26.704830,26.704830,25.759527,25.995853,10.251386,334813
2000-01-25,25.995853,25.995853,25.286877,25.523203,10.064998,501743
2000-01-26,25.995853,25.995853,25.286877,25.286877,9.971801,622445
2000-01-27,25.286877,25.759527,25.286877,25.759527,10.158193,417537
2000-01-28,25.759527,25.759527,25.286877,25.286877,9.971801,111815
2000-01-31,24.577898,25.050550,24.577898,24.577898,9.692219,496136
2000-02-01,25.050550,25.286877,24.577898,24.577898,9.692219,255790
2000-02-02,24.814224,25.050550,23.868919,23.868919,9.412636,315136
2000-02-03,23.868919,24.577898,23.632593,23.632593,9.319441,234739
2000-02-04,23.632593,24.105246,23.632593,24.105246,9.505831,93620
2000-02-07,24.105246,24.105246,23.632593,23.632593,9.319441,70876
2000-02-08,23.632593,23.868919,21.741985,22.214638,8.760276,641063
2000-02-09,22.687290,22.687290,20.324032,20.560356,8.107914,677031
2000-02-10,20.560356,21.269335,19.851379,21.269335,8.387498,382416
2000-02-11,21.269335,21.978312,20.796682,21.033009,8.294303,246270
2000-02-14,21.269335,21.505659,21.033009,21.269335,8.387498,200782
2000-02-15,21.269335,21.505659,20.560356,20.560356,8.107914,197820
2000-02-16,20.560356,20.796682,20.087706,20.087706,7.921525,296412
2000-02-17,20.324032,20.324032,18.669748,19.142401,7.548747,363057
2000-02-18,18.669748,18.906075,17.960772,18.669748,7.362358,603721
2000-02-21,18.669748,18.669748,18.669748,18.669748,7.362358,0
2000-02-22,18.433422,18.433422,16.779142,16.779142,6.616805,482701
2000-02-23,17.015469,17.724445,16.306490,17.724445,6.989582,199089
2000-02-24,17.724445,17.960772,16.779142,17.251793,6.803192,302442
2000-02-25,16.542816,17.488119,16.070164,17.488119,6.896387,383580
2000-02-28,16.542816,16.542816,15.597512,16.070164,6.337221,305616
2000-02-29,16.306490,16.306490,14.415882,14.652208,5.778054,227757
2000-03-01,14.652208,14.888534,13.234252,13.706904,5.405276,402092
2000-03-02,13.706904,16.542816,13.706904,16.306490,6.430414,811802
2000-03-03,16.542816,17.015469,14.652208,14.652208,5.778054,817409
2000-03-06,14.888534,14.888534,13.943230,13.943230,5.498470,114037
2000-03-07,13.234252,14.652208,13.234252,13.943230,5.498470,723365
2000-03-08,13.470578,15.361186,13.234252,15.361186,6.057636,733626
2000-03-09,15.833838,16.306490,15.361186,15.597512,6.150830,555800
2000-03-10,15.833838,16.542816,15.833838,16.070164,6.337221,902567
2000-03-13,15.597512,15.597512,15.124860,15.124860,5.964443,151062
2000-03-14,15.124860,16.070164,14.888534,16.070164,6.337221,624878
2000-03-15,15.833838,15.833838,13.943230,14.179556,5.591665,1676815
2000-03-16,14.652208,14.888534,13.234252,14.415882,5.684859,1613132
2000-03-17,14.888534,15.124860,14.179556,14.179556,5.591665,788952
2000-03-20,13.943230,14.652208,13.943230,14.652208,5.778054,277053
2000-03-21,14.888534,15.124860,14.415882,14.415882,5.684859,432770
2000-03-22,14.888534,14.888534,14.179556,14.888534,5.871248,468632
2000-03-23,14.888534,14.888534,14.179556,14.415882,5.684859,449590
2000-03-24,14.652208,16.542816,14.652208,15.597512,6.150830,1921921
2000-03-27,15.597512,16.542816,15.597512,15.833838,6.244026,1172004
2000-03-28,16.070164,18.433422,16.070164,18.433422,7.269163,2588797
2000-03-29,18.669748,18.669748,17.015469,17.251793,6.803192,2817295
2000-03-30,17.488119,17.488119,15.361186,15.597512,6.150830,1499306
2000-03-31,15.597512,16.779142,15.124860,16.306490,6.430414,1323278
