Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,11.522853,11.705273,11.349120,11.349120,8.472689,9680936
2000-01-05,10.644632,10.818365,10.287610,10.461344,7.809920,12161867
2000-01-06,10.461344,10.461344,9.931457,9.931457,7.414330,3797317
2000-01-07,10.287610,10.644632,9.931457,10.644632,7.946752,4634462
2000-01-10,10.818365,11.349120,10.644632,10.644632,7.946752,8740068
2000-01-11,10.818365,10.992098,10.287610,10.287610,7.680217,3559941
2000-01-12,10.105191,10.644632,10.105191,10.644632,7.946752,1746701
2000-01-13,10.644632,10.644632,10.287610,10.461344,7.809920,1109287
2000-01-14,10.644632,10.992098,10.461344,10.992098,8.206154,5035077
2000-01-17,11.175387,11.349120,10.644632,10.644632,7.946752,4732198
2000-01-18,10.818365,10.992098,10.461344,10.818365,8.076452,3592520
2000-01-19,10.644632,11.175387,10.644632,11.175387,8.342987,5769766
2000-01-20,11.349120,11.522853,10.992098,10.992098,8.206154,9491795
2000-01-21,10.818365,11.175387,10.644632,10.818365,8.076452,4710671
2000-01-24,10.644632,10.818365,10.105191,10.461344,7.809920,3026019
2000-01-25,10.105191,10.461344,10.105191,10.461344,7.809920,1291520
2000-01-26,10.644632,10.644632,10.287610,10.287610,7.680217,789141
2000-01-27,10.287610,10.644632,10.287610,10.461344,7.809920,1204030
2000-01-28,10.461344,10.461344,10.287610,10.461344,7.809920,1109056
2000-01-31,10.287610,10.461344,10.287610,10.287610,7.680217,1637913
2000-02-01,10.461344,10.644632,10.287610,10.287610,7.680217,1572526
2000-02-02,10.461344,10.461344,9.931457,10.105191,7.544034,4602920
2000-02-03,10.105191,10.105191,9.757724,10.105191,7.544034,2300539
2000-02-04,9.931457,10.105191,9.757724,9.931457,7.414330,1102495
2000-02-07,10.105191,10.105191,9.931457,10.105191,7.544034,1050691
2000-02-08,10.105191,10.105191,9.574436,9.757724,7.284631,1296240
2000-02-09,9.757724,9.757724,9.218283,9.400702,7.018096,3548659
2000-02-10,9.218283,9.400702,9.044549,9.044549,6.752210,2704031
2000-02-11,9.044549,9.400702,8.870816,9.044549,6.752210,3252343
2000-02-14,9.044549,9.044549,8.687528,8.870816,6.622509,1980508
2000-02-15,8.870816,9.044549,8.687528,8.870816,6.622509,1859172
2000-02-16,8.687528,9.044549,8.687528,8.687528,6.485675,2187031
2000-02-17,8.687528,8.687528,8.331375,8.331375,6.219790,2265427
2000-02-18,8.513795,8.687528,8.331375,8.331375,6.219790,1356908
2000-02-21,8.331375,8.331375,8.331375,8.331375,6.219790,0
2000-02-22,8.331375,8.331375,7.626887,7.626887,5.693855,3553609
2000-02-23,7.443598,7.983908,7.269865,7.626887,5.693855,3693364
2000-02-24,7.626887,7.800620,7.443598,7.443598,5.557019,1620761
2000-02-25,7.443598,7.800620,7.443598,7.800620,5.823555,1560899
2000-02-28,7.626887,7.626887,7.096132,7.096132,5.297619,1762933
2000-02-29,7.269865,7.269865,6.739979,6.812947,5.086206,4724255
2000-03-01,6.812947,6.812947,6.309989,6.667011,4.977259,4246396
2000-03-02,6.593174,7.269865,6.529761,7.269865,5.427319,5439144
2000-03-03,7.443598,7.443598,6.812947,6.812947,5.086206,3307255
2000-03-06,6.593174,6.667011,6.309989,6.309989,4.710723,3181775
2000-03-07,6.172740,6.382957,6.099772,6.245708,4.662735,2744438
2000-03-08,6.026804,6.245708,5.962523,6.172740,4.608262,2435919
2000-03-09,6.245708,6.382957,6.172740,6.172740,4.608262,3243939
2000-03-10,6.309989,6.739979,6.245708,6.529761,4.874794,5942560
2000-03-13,6.455925,6.455925,6.172740,6.245708,4.662735,2107023
2000-03-14,6.245708,6.529761,6.245708,6.529761,4.874794,2121989
2000-03-15,6.382957,6.529761,6.245708,6.309989,4.710723,2613432
2000-03-16,6.382957,6.455925,6.245708,6.309989,4.710723,1533270
2000-03-17,6.529761,6.529761,6.382957,6.382957,4.765197,1933309
2000-03-20,6.245708,6.245708,6.172740,6.245708,4.662735,1131390
2000-03-21,6.309989,6.950196,6.309989,6.739979,5.031734,13187693
2000-03-22,6.812947,6.812947,6.382957,6.382957,4.765197,5433158
2000-03-23,6.667011,7.443598,6.593174,7.096132,5.297619,21645835
2000-03-24,7.443598,7.626887,7.096132,7.443598,5.557019,10454306
2000-03-27,7.626887,7.800620,7.443598,7.626887,5.693855,6658255
2000-03-28,7.800620,8.331375,7.800620,8.157641,6.090089,12185927
2000-03-29,8.331375,8.331375,7.626887,7.800620,5.823555,7151195
2000-03-30,7.800620,7.983908,7.096132,7.269865,5.427319,6177288
